subregion,subregion_name,year,total_pixel_count,total_area_ha
1,Coast Range,1997,99433,8948.97
1,Coast Range,1998,162210,14598.9
1,Coast Range,1999,78288,7045.92
1,Coast Range,2000,170083,15307.47
1,Coast Range,2001,257528,23177.52
1,Coast Range,2002,788740,70986.6
1,Coast Range,2003,1860816,167473.44
1,Coast Range,2004,480908,43281.72
1,Coast Range,2005,784910,70641.9
1,Coast Range,2006,938179,84436.11
1,Coast Range,2007,669509,60255.81
1,Coast Range,2008,989089,89018.01
1,Coast Range,2009,1362972,122667.48
1,Coast Range,2010,555882,50029.38
1,Coast Range,2011,561037,50493.33
1,Coast Range,2012,562496,50624.64
1,Coast Range,2013,546283,49165.47
1,Coast Range,2014,729184,65626.56
1,Coast Range,2015,454270,40884.3
1,Coast Range,2016,336325,30269.25
1,Coast Range,2017,294112,26470.08
1,Coast Range,2018,2868752,258187.68
1,Coast Range,2019,559126,50321.34
1,Coast Range,2020,53565,4820.85
1,Coast Range,2021,1406184,126556.56
1,Coast Range,2022,4005572,360501.48
1,Coast Range,2023,506059,45545.31
1,Coast Range,2024,4768187,429136.83
1,Coast Range,2025,271675,24450.75
11,Blue Mountains,1997,139329,12539.61
11,Blue Mountains,1998,394162,35474.58
11,Blue Mountains,1999,387738,34896.42
11,Blue Mountains,2000,1256398,113075.82
11,Blue Mountains,2001,595558,53600.22
11,Blue Mountains,2002,1009267,90834.03
11,Blue Mountains,2003,1715463,154391.67
11,Blue Mountains,2004,1905592,171503.28
11,Blue Mountains,2005,984663,88619.67
11,Blue Mountains,2006,775547,69799.23
11,Blue Mountains,2007,1826656,164399.04
11,Blue Mountains,2008,1295935,116634.15
11,Blue Mountains,2009,1433192,128987.28
11,Blue Mountains,2010,1726642,155397.78
11,Blue Mountains,2011,2954818,265933.62
11,Blue Mountains,2012,1219573,109761.57
11,Blue Mountains,2013,612131,55091.79
11,Blue Mountains,2014,1060602,95454.18
11,Blue Mountains,2015,1424598,128213.82
11,Blue Mountains,2016,1560636,140457.24
11,Blue Mountains,2017,1729987,155698.83
11,Blue Mountains,2018,1888748,169987.32
11,Blue Mountains,2019,2223702,200133.18
11,Blue Mountains,2020,1045911,94131.99
11,Blue Mountains,2021,860284,77425.56
11,Blue Mountains,2022,3337914,300412.26
11,Blue Mountains,2023,5083724,457535.16
11,Blue Mountains,2024,1347208,121248.72
11,Blue Mountains,2025,812753,73147.77
15,Northern Rockies,1997,1711762,154058.58
15,Northern Rockies,1998,124622,11215.98
15,Northern Rockies,1999,180652,16258.68
15,Northern Rockies,2000,237765,21398.85
15,Northern Rockies,2001,412812,37153.08
15,Northern Rockies,2002,324368,29193.12
15,Northern Rockies,2003,1649835,148485.15
15,Northern Rockies,2004,1667557,150080.13
15,Northern Rockies,2005,1744810,157032.9
15,Northern Rockies,2006,445616,40105.44
